Specimen No.,Year,Era,Species,Scent Morph,Date,Location,State,Altitude (m),Altitude (ft),Habitat (NMS),Habitat-description,Collector,Mounted?,Notes,NMS NOTES,Photos taken?,Corolla.Flare_1,Sepal.Length_1,Tube.Length_1,Lobe.Length_1,Lobe.Width_1,Notes,NMS NOTES,Dissected?,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,,flrln,flrwd,no.flr.counted,conmean,hetmean,purity,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Notes
#4-2-13,1985,past,Polemonium viscosum,Skunky,7/8/85,Niwot Ridge,Colorado,3660,"12,000",krummholz,"dry, east-facing riddge, low tundra",Candace Galen,yes,,*1st PRIORITY,yes,1.29,1.35,2.17,0.65,0.62,,*2nd PRIORITY,yes,NA,NA,NA,NA,no flowers,,,,,,,,,,,,,,,,,,,,,,
15,1985,past,Polemonium viscosum,Skunky,7/8/85,Niwot Ridge,Colorado,3660,"12,000",krummholz,,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.46,1.43,1.56,0.83,0.55,,*3rd PRIORITY count Carlie's slides,Carlie,12,0,1,1,,30,0,4,1,,,26.39,11.75,2,21.5,2,0.914894,1,12,0,2,31,4,,,,
20,1985,past,Polemonium viscosum,Skunky,7/8/85,Niwot Ridge,Colorado,3660,"12,000",krummholz,,Candace Galen,no, 1 stigmas already removed & counted,*2nd PRIORITY,yes,0.88,1.36,1.92,0.59,0.42,,*3rd PRIORITY count Carlie's slides,Carlie,30,0,321,4,only one slide,,NA,NA,NA,,,23.74,12,1,29,246,0.105455,1,29,246,,,,,,,
14,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3950,"12,950",high alpine,,Candace Galen,yes,,*1st PRIORITY,yes,1.088,2.412,1.736,0.654,0.598,,*2nd PRIORITY,yes,169,15,150,4,,,,,,,,,,,,,,,,,,,,,,,
16,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3950,"12,950",high alpine,,Candace Galen,yes,,*1st PRIORITY,yes,0.894,2.527,1.739,0.829,0.662,,*2nd PRIORITY,yes,174,40,656,7,,,,,,,,,,,,,,,,,,,,,,,
#3-5-6,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3960,"12,992",high alpine,"Summit, tundra",Candace Galen,yes,,*1st PRIORITY,yes,1,1.965,1.439,0.56,0.475,,*2nd PRIORITY,yes,10,20,26,4,,,,,,,,,,,,,,,,,,,,,,,
7,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,4025,"13,200",high alpine,,Candace Galen,yes,,*1st PRIORITY,yes,0.98,1.16,1.28,0,0.54,,*2nd PRIORITY,,39,3,25,4,,,,,,,,,,,,,,,,,,,,,,,
8,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3960,"12,992",high alpine,Summit,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,0.82,1.1,0.95,0.63,0.61,,*3rd PRIORITY count Carlie's slides,Carlie,42,0,85,3,,15,1,3,1,,,20.98,7.15,2,28.5,21,0.575758,1,42,41,2,15,1,,,,
9,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3960,"12,992",high alpine,Summit,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.14,1.27,1.14,0.65,0.59,,*3rd PRIORITY count Carlie's slides,Carlie,4,0,16,2,,1,0,15,1,,,18.22,10.52,2,2.5,13,0.16129,1,4,15,2,1,11,,,,
10,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3960,"12,992",high alpine,Summit,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,no,NA,NA,NA,NA,NA,flowers destroyed,*3rd PRIORITY count Carlie's slides,Carlie,106,14,571,5,,34,1,155,3,,,18.89,9.11,2,62.5,243,0.204583,1,94,349,2,31,137,,,,
#3-1-41,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3550,"11,646",krummholz,"trailor flats, krummholz",Candace Galen,yes,,*1st PRIORITY,yes,1.079,2.04,1.436,0.625,0.681,,*2nd PRIORITY,yes,90,17,136,7,,,,,,,,,,,,,,,,,,,,,,,
